ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Wealth_Poorest,Wealth_Second,Wealth_Middle,Wealth_Fourth,Wealth_Richest,Level
AFG,Afghanistan,SA,SA,Least Developed,54,40,67,48,71,45,46,43,60,75,Primary
ALB,Albania,ECA,EECA,More Developed,95,96,94,93,96,93,93,96,94,98,Primary
DZA,Algeria,MENA,MENA,Less Developed,93,93,93,90,95,84,94,94,96,99,Primary
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,Primary
AGO,Angola,SSA,ESA,Least Developed,60,57,63,27,74,19,30,61,77,89,Primary
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,Primary
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,Primary
ARG,Argentina,LAC,LAC,Less Developed,92,94,91,,,86,92,93,98,95,Primary
ARM,Armenia,ECA,EECA,Less Developed,99,99,99,100,99,99,100,98,100,100,Primary
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,Primary
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,Primary
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,Primary
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,Primary
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,Primary
BGD,Bangladesh,SA,SA,Least Developed,83,89,76,83,83,70,80,87,87,92,Primary
BRB,Barbados,LAC,LAC,Less Developed,99,99,99,99,99,97,98,100,99,100,Primary
BLR,Belarus,ECA,EECA,More Developed,100,100,100,100,100,100,99,100,100,100,Primary
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,Primary
BLZ,Belize,LAC,LAC,Less Developed,95,96,95,95,97,89,94,98,100,99,Primary
BEN,Benin,SSA,WCA,Least Developed,48,44,51,41,58,21,33,45,58,76,Primary
BTN,Bhutan,SA,SA,Least Developed,69,71,67,60,89,43,55,68,83,90,Primary
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,Primary
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,100,100,99,99,100,100,100,98,100,100,Primary
BWA,Botswana,SSA,ESA,Less Developed,96,98,95,93,98,,,,,,Primary
BRA,Brazil,LAC,LAC,Less Developed,96,97,95,92,96,92,96,97,98,99,Primary
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,Primary
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,Primary
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,Primary
BFA,Burkina Faso,SSA,WCA,Least Developed,31,29,32,21,58,10,17,22,35,60,Primary
BDI,Burundi,SSA,ESA,Least Developed,50,54,46,47,70,26,39,54,57,64,Primary
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,Primary
KHM,Cambodia,EAP,EAP,Least Developed,73,79,68,71,85,48,64,75,86,90,Primary
CMR,Cameroon,SSA,WCA,Less Developed,74,74,75,58,89,33,64,79,91,96,Primary
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,Primary
